AAPB Unique Identifier (GUID),Type,Value,class ID,Timecode IN,Timecode OUT,File Duration,SonyCi ID,Filename,Tag Duration
cpb-aacip/500-j9609t48,Significant speaker voice,,,5,110,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3,105.0
cpb-aacip/500-j9609t48,Sound quality,,,131,140,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3,9.0
cpb-aacip/500-j9609t48,Significant speaker voice,,,119,254,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3,135.0
cpb-aacip/500-j9609t48,Sound quality,,,255,262,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3,7.0
cpb-aacip/500-ff3m1h34,Significant speaker voice,,,358,436,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3,78.0
cpb-aacip/500-ff3m1h34,Sound quality,,,436,442,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3,6.0
cpb-aacip/500-ff3m1h34,Significant speaker voice,,,901,1125,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3,224.0
cpb-aacip/500-ff3m1h34,Significant speaker voice,,,1237,1277,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3,40.0
cpb-aacip/15-53wsv2sk,Sound quality,,,656,672,1032.987000,a7ccabe0efcd4409b6c59a578a705a71,cpb-aacip-15-53wsv2sk.h264.mp4,16.0
cpb-aacip/15-53wsv2sk,Significant speaker voice,,,672,852,1032.987000,a7ccabe0efcd4409b6c59a578a705a71,cpb-aacip-15-53wsv2sk.h264.mp4,180.0
cpb-aacip/15-18rbp7kf,Sound quality,,,2909,2939,3749.094000,c9ec6e410a9e4a25bae8ca30f02fc072,cpb-aacip-15-18rbp7kf.h264.mp4,30.0
cpb-aacip/15-18rbp7kf,Significant speaker voice,,,2940,3429,3749.094000,c9ec6e410a9e4a25bae8ca30f02fc072,cpb-aacip-15-18rbp7kf.h264.mp4,489.0
cpb-aacip/15-1615f4d4,Significant speaker voice,,,5,1882,1907.400000,9f558f55163c4bc8bd5c1f298851e2d3,cpb-aacip-15-1615f4d4.mp3,1877.0
cpb-aacip/15-504xh96w,Sound quality,,,1832,1838,3571.392000,0d39eb6d10a04fefbe52e022cbd58772,cpb-aacip-15-504xh96w.mp3,6.0
cpb-aacip/15-504xh96w,Significant speaker voice,,,1905,2729,3571.392000,0d39eb6d10a04fefbe52e022cbd58772,cpb-aacip-15-504xh96w.mp3,824.0
cpb-aacip/15-k06ww77499,Significant speaker voice,,,241,513,1881.931000,75460c46d36b46d792583c48f652ded8,cpb-aacip-15-k06ww77499__4233-2008_10_27_.h264.mp4,272.0
cpb-aacip/15-5d8nc5sc0z,Significant speaker voice,,,1369,1477,4530.446000,45144a737d894b8b92254461786199cd,cpb-aacip-15-5d8nc5sc0z__25087-2010_05_22_.h264.mp4,108.0
cpb-aacip/15-tt4fn1143f,Significant speaker voice,,,52,273,5335.621000,8a588901215c4b40a1fd48fa29e04014,cpb-aacip-15-tt4fn1143f__4145-2008_03_24_.h264.mp4,221.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2366,2410,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,44.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2415,2458,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,43.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2459,2483,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,24.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2503,2536,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,33.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2537,2554,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,17.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2556,2582,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,26.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2617,2644,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,27.0
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,,,2645,2682,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4,37.0
cpb-aacip/15-3f4kk94b5t,Sound quality,,,1938,1959,5474.592000,c6a2d00f728f46bdaf20a346469f016f,cpb-aacip-15-3f4kk94b5t__21697-2009_01_11_.h264.mp4,21.0
cpb-aacip/15-3f4kk94b5t,Significant speaker voice,,,1960,2803,5474.592000,c6a2d00f728f46bdaf20a346469f016f,cpb-aacip-15-3f4kk94b5t__21697-2009_01_11_.h264.mp4,843.0
cpb-aacip/15-5717m04383,Significant speaker voice,,,241,513,5160.334000,500c0cc5f7134c5894bbf37b52eb4746,cpb-aacip-15-fb4wh2dk0q__25316-2010_09_17_.h264.mp4,272.0
cpb-aacip/15-1c1td9n728,Significant speaker voice,,,489,638,5468.996000,4c11973aa9aa4a49b4d16cb5d1a0de9b,cpb-aacip-15-1c1td9n728__3829-2007_09_17_.h264.mp4,149.0
cpb-aacip/15-xw47p8tt0m,Significant speaker voice,,,489,638,3786.223000,bf8415d0ee754779b3b0062197d43d0c,cpb-aacip-15-xw47p8tt0m__3829-2007_09_17_.h264.mp4,149.0
cpb-aacip/15-jq0sq8qr1w,Significant speaker voice,,,95,104,5439.159000,f6e6191cd43b48c6b3d0f179c9e1d240,cpb-aacip-15-jq0sq8qr1w__3825-2007_06_02_.h264.mp4,9.0
cpb-aacip/15-9542j827,Significant speaker voice,,,1193,1283,4151.112000,d2aef1bf15724841811da431cd210c0d,cpb-aacip-15-9542j827__111477_.mp3,90.0
cpb-aacip/15-qr4nk36f8b,Significant speaker voice,,,48,168,5907.157000,8e31d2428ed54d52ad839032c0ff4237,cpb-aacip-15-qr4nk36f8b__25886-2010_09_.h264.mp4,120.0
cpb-aacip/15-9c6rx93d5t,Significant speaker voice,,,202,248,5515.483000,5d999bd4654a45a68d4212eccdfe377b,cpb-aacip-15-9c6rx93d5t__4082-2008_01_21_.h264.mp4,46.0
