AAPB Unique Identifier (GUID),Type,Value,Timecode IN,Timecode OUT,File Duration,SonyCi ID,Filename
cpb-aacip/500-j9609t48,Significant speaker voice,"Kennedy, John F.",5,110,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3
cpb-aacip/500-j9609t48,Sound quality,audience clapping,131,140,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3
cpb-aacip/500-j9609t48,Significant speaker voice,"Kennedy, John F.",119,254,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3
cpb-aacip/500-j9609t48,Sound quality,audience clapping,255,262,1739.184000,6d54987efa73413cb3558c95baa907a6,cpb-aacip-500-j9609t48.mp3
cpb-aacip/500-ff3m1h34,Significant speaker voice,"Kennedy, John F.",358,436,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3
cpb-aacip/500-ff3m1h34,Sound quality,audience clapping,436,442,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3
cpb-aacip/500-ff3m1h34,Significant speaker voice,"Kennedy, John F.",901,1125,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3
cpb-aacip/500-ff3m1h34,Significant speaker voice,"Kennedy, John F.",1237,1277,1800.504000,d440faa5f295427c962e6edc4d0031a8,cpb-aacip-500-ff3m1h34.mp3
cpb-aacip/15-53wsv2sk,Sound quality,audience clapping,656,672,1032.987000,a7ccabe0efcd4409b6c59a578a705a71,cpb-aacip-15-53wsv2sk.h264.mp4
cpb-aacip/15-53wsv2sk,Significant speaker voice,"Kennedy, John F.",672,852,1032.987000,a7ccabe0efcd4409b6c59a578a705a71,cpb-aacip-15-53wsv2sk.h264.mp4
cpb-aacip/15-18rbp7kf,Sound quality,audience clapping,2909,2939,3749.094000,c9ec6e410a9e4a25bae8ca30f02fc072,cpb-aacip-15-18rbp7kf.h264.mp4
cpb-aacip/15-18rbp7kf,Significant speaker voice,"Kennedy, John F.",2940,3429,3749.094000,c9ec6e410a9e4a25bae8ca30f02fc072,cpb-aacip-15-18rbp7kf.h264.mp4
cpb-aacip/15-1615f4d4,Significant speaker voice,"Kennedy, John F.",5,1882,1907.400000,9f558f55163c4bc8bd5c1f298851e2d3,cpb-aacip-15-1615f4d4.mp3
cpb-aacip/15-504xh96w,Sound quality,audience clapping,1832,1838,3571.392000,0d39eb6d10a04fefbe52e022cbd58772,cpb-aacip-15-504xh96w.mp3
cpb-aacip/15-504xh96w,Significant speaker voice,"Kennedy, John F.",1905,2729,3571.392000,0d39eb6d10a04fefbe52e022cbd58772,cpb-aacip-15-504xh96w.mp3
cpb-aacip/15-k06ww77499,Significant speaker voice,"Kennedy, John F.",241,513,1881.931000,75460c46d36b46d792583c48f652ded8,cpb-aacip-15-k06ww77499__4233-2008_10_27_.h264.mp4
cpb-aacip/15-5d8nc5sc0z,Significant speaker voice,"Kennedy, John F.",1369,1477,4530.446000,45144a737d894b8b92254461786199cd,cpb-aacip-15-5d8nc5sc0z__25087-2010_05_22_.h264.mp4
cpb-aacip/15-tt4fn1143f,Significant speaker voice,"Kennedy, John F.",52,273,5335.621000,8a588901215c4b40a1fd48fa29e04014,cpb-aacip-15-tt4fn1143f__4145-2008_03_24_.h264.mp4
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",2366,2410,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Nixon, Richard",2415,2458,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",2459,2483,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",2503,2536,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Nixon, Richard",2537,2554,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
cpb-aacip/15-9s1kh0f17h,Significant speaker voice,"Kennedy, John F.",2556,2582,4903.010000,c4b638ee259b4bae9a26c85a38be0170,cpb-aacip-15-9s1kh0f17h__26590-2010_09_22_.h264.mp4
