assets_id,identifier,Sony Ci
277182,cpb-aacip/17-20sqw6xk,249daf2f92d74a468e098c6b6d1fe6cf
1745054,cpb-aacip/398-23vt4hfq,ce03d4747f70448c940a04e79822a9b1
770473,cpb-aacip/129-66vx0wbw,1854dfc0dd8a48d7ad5cd6df2612b664
4888308,cpb-aacip/43-kk9474767s,c9eaf3f9d701432abeb62eb6b1ff19f3
4430248,cpb-aacip/15-300zpnkj,795470b06a674ccc9e112f18fab0745c
4666983,cpb-aacip/259-w6695z3j,62d24070541f4e40b3f9926a9f6365b0
1762600,cpb-aacip/398-76f1vrrr,f5a1483f4bbb41cf90bde4d7277ac88c
4169847,cpb-aacip/15-10wpzrg3,fe875020b8bf454286d4d50a8b9c6c11
4844563,cpb-aacip/500-th8bmm14,040048ebbdd347408106615909725e6c
3558223,cpb-aacip/309-55m90bpp,2635862256a3439fb028190d73a961f3
4477177,cpb-aacip/15-472v78bw,21d5da6901174b459b325c5549e458b2
261785,cpb-aacip/129-23612r2n,e4b59848cff44ef599c0b57246fe45fc
4854292,cpb-aacip/15-125q814q2j,e3acad2265c94ab48c71183a8e386925
689438,cpb-aacip/423-17crjg0z,f27e22446cbf4f2eb4aa630e8eafbc34
79810,cpb-aacip/189-8279cwzq,cef4b811faac4c2b84f206d70318ff0d
1871433,cpb-aacip/235-79574rzt,5cdae2cf1ef24fe7971d31be78638acc
237559,cpb-aacip/46-171vhkqw,40fa1f256b704da894b9572f6dc638c2
4932518,cpb-aacip/37-bk16m33g3p,d8e90e737dd84c77858c2eb293a77429
523399,cpb-aacip/387-106wwrd9,4b1e825060314b84b0d44c07c5b29659
2008971,cpb-aacip/41-913n6h4j,6a42f4925fd3401fa85cd3c657ef0922
4354676,cpb-aacip/15-8605qx7j,2303975c36c0489abcaea27cb4863703
2127029,cpb-aacip/80-182jmskr,098a88e84ea540d9826872d9bb2f4097
3445854,cpb-aacip/394-977sr9gz,8f0bb45bf90d444b92478356c037e3ea
1852542,cpb-aacip/138-44pk0w7d,2c30e8945b7f40fd946e417b68dbc5ad
4890782,cpb-aacip/293-2804x54q4v,5d7239bbe3994d2695d3d78c45812e1c
3201964,cpb-aacip/298-009w0vvg,79f7073f47304dac96c84d496b7d715b
3178350,cpb-aacip/30-48ffc98w,119b630601e14c0f954579b1aa82c2f7
4324575,cpb-aacip/15-23vt4mcb,f142bbf2fdef4f55bdfef51f2678a20c
4858525,cpb-aacip/15-445h98zg14,630a5c44dbcc4adcb85e18d8798be233
4847692,cpb-aacip/15-97s7hr86,a63fc94c55fa40ddb5117c5f965700af
2221810,cpb-aacip/80-440rzhtb,2e205743273d4e47a3ef822042938251
1474817,cpb-aacip/75-4298smv9,2065ae422552497ea4b67c72fff776e3
1934795,cpb-aacip/80-70zpd1hp,249daf2f92d74a468e098c6b6d1fe6cf
4849029,cpb-aacip/15-9hd7ns4j,bc555cb8208c4f91b9c667ac3075b21b
1055611,cpb-aacip/29-72p5hzkw,e62bb4aecf9c46ad9621fe47aff4fbe4
4850478,cpb-aacip/15-s17sn01b6w,498eeac531af459a98cc2eb8de0595d8
4376766,cpb-aacip/15-65h9wf89,90c71ac6ebea48199489d92794ac36c9
3530158,cpb-aacip/359-82k6dwkx,b12157ed7eb3464d95050c1b234bcec6
1479168,cpb-aacip/75-8380gq53,3675c3ef9e8d419a89343f3ab216b25e
4890179,cpb-aacip/28-vh5cc0vc2h,6967fce9c6d348978859e865681d97b2
4855765,cpb-aacip/15-q23qv3cc57,129b99957df04253a8aa1b92a169efb0
4842146,cpb-aacip/500-1g0hxw3t,63bc72a6aa0d4503951181c782c7ff12
3272757,cpb-aacip/77-579s5rkx,ea1251a49ef64b01825723cf62bbcc3a
715009,cpb-aacip/22-106wwqw3,a2f474c4ecd248208ef4133c593fb224
4851950,cpb-aacip/15-kw57d2qg64,14c0c828a4a24ab0885e0348a053fb0c
3074908,cpb-aacip/86-074tmqhb,678e1f886153466d891be588f7bc5167
4911116,cpb-aacip/15-2z12n5012k,68486f4de81540899a97c3c773f96331
4670639,cpb-aacip/259-j38kgs81,ecf064ba3f734a5c8898064ec2b725e7
4840728,cpb-aacip/500-zp3vzk8c,5fc19a3a16ab41bda42641798493e6ac
4676841,cpb-aacip/259-7w67640g,daa809fe3062499488dada2a12aab8ca
4889936,cpb-aacip/28-804xg9fh3w,2262c64f9150462ebc8565595d00914a
4312282,cpb-aacip/15-65v6x99r,4e8f2e421d7a4dba91ace7b7491c3440
4086127,cpb-aacip/15-13zs7r58,b4def90cc90d44ba8e6d96139d188d0d
2005760,cpb-aacip/41-62s4n33c,5f97546b87fd446bb222f5472fd44e11
4859051,cpb-aacip/15-599z02z91j,e1cdc4244c58405793f5dd1b2e6665f2
1722297,cpb-aacip/116-439zw7gh,be0affa9594d419e981bf3105fb82495
3424255,cpb-aacip/86-03cz8xpn,ee52c13b4cbc479d80d32bb81d14b240
4850241,cpb-aacip/15-d21rf5kh34,b756787de6864f80b8ac2121a08feaa3
3281634,cpb-aacip/77-7634vr19,c964acc1044145938b0b1d2ac575dd8f
2125144,cpb-aacip/80-57np6618,249daf2f92d74a468e098c6b6d1fe6cf
3557233,cpb-aacip/309-021c5b54,fc7aac5adf70409098dee64dbc446294
44023,cpb-aacip/254-80ht7ff2,ce9422d15d58445ca1e49ff4373ec7a1
1969900,cpb-aacip/41-021c5bk0,b423d96060bd4255a044685de76785e6
4847577,cpb-aacip/15-93r0ps6f,09c3dd1a6c84423481f1f795118422d7
4850674,cpb-aacip/15-fq9q23r32f,e6af355d931b4901bba4c4bd4dc1b43a
3276652,cpb-aacip/77-61rfk97n,a7332042f8204f6e9089e144133c2866
1327949,cpb-aacip/29-5370s50h,cb75e73dab7e48128070ef2c3574c432
4860263,cpb-aacip/60-84zgn220,59566d597e5e4c18a3baa938a8b11cb2
4890184,cpb-aacip/28-6t0gt5fp6g,41c169ff10a54460800bff12646a38ee
1736670,cpb-aacip/221-7312jzvp,e084446f4483416591163d96b6662423
1922704,cpb-aacip/75-74cnpg4c,8e0613b83aa54151b4dbd36e510750bd
1973536,cpb-aacip/41-55z6180d,e133551084444091b7e02d5aa788ca6d
4856747,cpb-aacip/15-tt4fn11513,432d7fbcac2747578ddf4b60b3824612
1883041,cpb-aacip/398-91sf7wbm,ec2664a9ab1a4863b9edb23fa5084e92
1970046,cpb-aacip/41-39k3jfj9,b5a858ff2d4e4524a78baf2e3811f188
4893920,cpb-aacip/16-n29p26qj4s,e2e2bd5a18884364a5abadc685669550
4442073,cpb-aacip/15-1615f4gh,0ad7fdb2ded84c7b8f0128ac84f81917
1936071,cpb-aacip/80-021c5w7p,249daf2f92d74a468e098c6b6d1fe6cf
4909954,cpb-aacip/15-6q1sf2ms08,e44e589e7092420b929d66693fd29016
2964740,cpb-aacip/160-85n8pvhq,5496dae2f2304038a942fe1341524516
3025057,cpb-aacip/81-29b5mqhf,914aaf4816a24d6f9acbbb83005afae8
1319800,cpb-aacip/55-96k0q378,a3e50a5f1b83490ebb8aad16ab7902a4
649797,cpb-aacip/120-33dz0gm5,4c090a35139241baa1c15f9c2bde33ba
2229813,cpb-aacip/41-52w3rcxm,a3c6e92488014e7e8053847f91525b86
3130492,cpb-aacip/394-472v74pr,f7dce1f7aa904b3db029278286236de2
3230481,cpb-aacip/153-84mkm59n,9a54e8bebc74420ead4fdf36b16fae7e
3230992,cpb-aacip/153-84zgn48w,5ef65b073be0480d94eeb2fbc9c3e361
4888899,cpb-aacip/43-7940r9mf15,9f79f20246b842358765ad9950fffd3b
4712679,cpb-aacip/259-2f7jss9s,e10a44e4147141a5adf7d63dd95f8cc5
1450954,cpb-aacip/88-547pvs3q,dd13302f8590441a93ce5875e3c6f8ed
571229,cpb-aacip/52-87brv91c,667de9dc01b84ccf9836c5da63e6472b
4143015,cpb-aacip/15-580k6shr,29934fdd829e4083b82ab6bb38e371cc
4845768,cpb-aacip/500-4q7qsc74,a4b3d60e9a5142508d7c1b89d44d7edb
3241016,cpb-aacip/200-68kd58dt,8986487021604159af11e2ba0e2a2427
3030091,cpb-aacip/114-870vtd1g,11659532f94143ba9639e27faba43dd9
4095473,cpb-aacip/15-30prrfm2,99bd1130648d4ffb9a01430806f2433a
4852901,cpb-aacip/15-qr4nk36d3h,318eac6d3ea948f2bd540d7a5cd86ea4
4160050,cpb-aacip/15-63stqz54,22bbd528d4614b8ea9a7f18185fa2e7d
4891029,cpb-aacip/55-4t6f18sn9m,9cbad728c6a34b2c92b9588faeab1aa8
4910157,cpb-aacip/15-028pc2tm3q,7c745b41990f4bb3bcc7bac8b0f516b0
4480139,cpb-aacip/15-19f4r1bz,2a57288d9a964d178871bca258f8df19
3443055,cpb-aacip/394-085hqkkr,7a793785b8da496086b75bcfde0cd998
3064019,cpb-aacip/86-78gf24fv,a4d98a8145c74396a6fcf4d586dab231
1321443,cpb-aacip/55-805x7885,92d3cb7ac5cc42938f638e07b60a9219
4894403,cpb-aacip/16-7d2q52fn5c,eeadd0e957ef4fc8bcd911032619e111
4445855,cpb-aacip/15-16c2g0rs,33d7c6412b284c96a4f28403c528a0b0
284628,cpb-aacip/17-02q57zkw,9615afcc32d64d5689cec43b4ee2e2c7
1941136,cpb-aacip/80-42n5v0np,249daf2f92d74a468e098c6b6d1fe6cf
4847835,cpb-aacip/15-9s17ss1x,13a396590ed44dbc9440e6de38db6b34
285369,cpb-aacip/17-4298tbck,c874d7e9a5174a9a8ad14184b37b1b14
1049686,cpb-aacip/29-75r7t08r,037d5594b3104189a1009738bcfc3037
1763384,cpb-aacip/398-50tqjzbt,db172a08b66547deaf9d938a67831f5d
4376529,cpb-aacip/15-68kd5g7n,ba26879521954508a899536e236ab1ee
18108,cpb-aacip/378-77fqzdph,1f0d198aba4a411ba6e1f9aa12945e2a
4894564,cpb-aacip/16-f47gq6rf79,74f81ab777d04d7c9c0892f8cf08e0f1
4081849,cpb-aacip/15-94vhj4vw,bc416a2b01f14805b39609a2e68362ca
2155457,cpb-aacip/41-49g4f9j7,f2bf3746f1b4410d9ac26d00598409f5
4910777,cpb-aacip/15-w37kp7vh63,6170ba32c7ad4631916bdccf69b273a9
4857310,cpb-aacip/15-3b5w66974h,9499fc61a17a4fe3b1fe99c037fd441a
2041932,cpb-aacip/43-81wdc9xh,99b58d53b3c64116b7c81d2133d4e0c5
4431757,cpb-aacip/15-354f50zc,73e81ce63ad049479cb25990017d2599
2041535,cpb-aacip/43-76rxwq0r,d45b8eca3a324030a6267fabfd7d2d7c
3557547,cpb-aacip/309-773txj24,a0bc149810414852b9f15ede32a09048
4843890,cpb-aacip/500-s17ss94j,0a54d1d79dc04881a8203a2e68e5027c
