assets_id,identifier,Sony Ci
4467711,cpb-aacip/15-8380gsh1,eb85a54f1feb45d8bf40f7761ddf3ed5
423805,cpb-aacip/328-07tmph1g,270f8fa1fa694a0bb554dc164bdd7528
3568965,cpb-aacip/217-46254crr,8ecd02728d234c71ba72face7d0c57d5
1972647,cpb-aacip/41-46d25f97,1f527fc6494a4dc8a62caf8279e7fd99
1649049,cpb-aacip/301-91fj70hf,bf97982fd0b14cccbc0472794516c654
2206961,cpb-aacip/43-902z3n0k,7bfb28aecbd64a418daa510a16a94787
4842057,cpb-aacip/500-hx15rp1b,b1dd1e7fc64046f0a6e3776fe6630033
262780,cpb-aacip/129-720cg8th,31d51f878b1e4c3b9f0acb8054d79c37
526476,cpb-aacip/387-86nzshf1,0db4784493a64866bf8e4bf63c8c7b1b
4909674,cpb-aacip/15-804xg9fr0w,895e51e7885a44c3baf4924b1451c14f
4932229,cpb-aacip/127-46254f79,285efcc4877e4c9c83b04874221c76b5
4846684,cpb-aacip/500-sq8qhb62,e6451439a5354c6fa25bc1ee8cc6d19a
1483481,cpb-aacip/75-98z8wr7c,7076989e898c4047b913fb04e2ee1faa
4910626,cpb-aacip/15-cv4bn9xp02,4cd30590045147f0bbe54ebbe102859d
719865,cpb-aacip/189-30bvqcwg,3937eb0767ca49069e28d3126cc5e2a5
2153052,cpb-aacip/41-784j16vg,d12429a27b0943b99602696f358db743
4857722,cpb-aacip/15-vq2s46hh95,ccdf6b3c23974ba5ab19d8a5cb05078c
4350296,cpb-aacip/15-43nvxbsw,00b6f8657738423ba3feb0083ab7bc10
2974648,cpb-aacip/245-87pnw7rm,402ca946a12e40ef9d8cf205ee25303e
4852415,cpb-aacip/15-hm52f7k02z,326bb92e10674f0085d48cb8e1e692e5
4860302,cpb-aacip/60-55z61b5h,41dc6285175d494bbbf04e02c3111dad
4725004,cpb-aacip/259-pz51kg1b,ed088687079e45329ebbb043e6060c5c
4910843,cpb-aacip/15-bv79s1m517,98a66f95a28148fb83bb3126b45ff082
4852370,cpb-aacip/15-b853f4ks8t,6babe188723f4383864dc6d0dd859c8d
4097828,cpb-aacip/15-74cnpmn2,2d5d288223ef4005b2526b3f1ab184cf
