0,1,2
164,1,25
191,1,13
226,1,11
239,1,13
259,1,3
277,1,19
304,1,8
322,1,11
353,1,3
364,1,3
368,1,16
387,1,7
414,1,11
428,1,13
458,1,7
473,1,4
479,1,6
490,1,4
496,1,12
510,1,3
520,1,6
531,1,12
551,1,13
569,1,4
576,1,12
590,1,3
604,1,3
611,1,3
621,1,12
635,1,25
662,1,34
700,1,11
714,1,14
735,1,14
757,1,8
769,1,4
786,1,7
802,1,6
820,1,12
835,1,9
852,1,12
872,1,3
890,1,8
905,1,5
921,1,13
946,1,6
954,1,14
974,1,11
987,1,4
995,1,10
1011,1,12
1026,1,4
1035,1,16
1059,1,4
1066,1,4
1072,1,8
1084,1,4
1102,1,7
1114,1,5
1135,1,5
1148,1,5
1155,1,12
1173,1,20
1204,1,10
1220,1,11
1235,1,8
1247,1,20
1277,1,19
1298,1,6
1308,1,30
1341,1,11
1358,1,2
1363,1,24
1405,1,50
1459,1,11
1483,1,13
1505,1,3
1511,1,14
1534,1,7
1546,1,9
1563,1,12
1578,1,11
1601,1,4
1610,1,3
1615,1,7
1624,1,4
1635,1,5
1642,1,4
1651,1,5
1660,1,24
1686,1,14
1715,1,4
1721,1,9
1739,1,3
1749,1,5
1760,1,5
1768,1,3
1773,1,17
1801,1,6
1811,1,2
1818,1,6
1828,1,20
1856,1,16
1875,1,4
1884,1,33
1921,1,4
1930,1,3
1938,1,4
1947,1,5
1968,1,7
1978,1,20
2005,1,6
2014,1,8
2025,1,9
2035,1,3
2042,1,24
2077,1,10
2091,1,25
2121,1,11
2135,1,7
2155,1,8
2188,1,4
2197,1,5
2211,1,7
2221,1,15
2242,1,5
2261,1,3
2269,1,8
2286,1,6
2297,1,7
2324,1,9
2341,1,5
2355,1,10
2369,1,4
2377,1,2
2391,1,7
2411,1,8
2630,1,3
2651,1,6
2669,1,3
2680,1,4
2708,1,5
2718,1,4
2731,1,4
2746,1,11
2772,1,5
2787,1,5
2804,1,11
2818,1,8
2843,1,3
2866,1,3
2885,1,6
2896,1,3
2907,1,13
2930,1,10
2954,1,2
2980,1,3
3015,1,4
3024,1,4
3057,1,5
3067,1,4
3091,1,5
3118,1,8
3133,1,3
3154,1,3
3169,1,7
3192,1,4
3250,1,11
3304,1,3
3314,1,5
