@RELATION svm_Child_UBM_1991x2s
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {UBM_Child,Child, Julia}

@DATA
0.088159,0.013905,3.072894,0.155931,0.165401,0.765813,0.011898,0.139018,-26.451389,2.312702,-0.312495,0.203679,-0.511853,0.204285,-0.152242,-0.012235,-0.191801,-0.020797,-0.153417,-0.067608,-0.081725,0.020887,0.007942,0.026017,0.022154,0.022747,0.014888,0.021328,0.004522,0.009989,0.020675,0.027678,0.007378,0.021597,0.030821,0.012261,0.240626,0.029538,0.028299,0.352338,0.007143,0.061783,1.703398,0.620352,0.535735,0.323528,0.342028,0.275192,0.265113,0.235911,0.225855,0.202326,0.199996,0.191243,0.183151,0.020847,0.010099,0.023409,0.021236,0.019752,0.015966,0.017813,0.005879,0.010915,0.018122,0.023467,0.009310,0.009448,UBM_Child
0.071670,0.002654,3.086316,0.161588,0.190109,0.416177,0.013893,0.094327,-29.100888,2.857898,0.165888,-0.245583,-0.483284,0.031557,-0.280585,-0.120607,-0.309743,-0.040461,-0.087933,-0.040903,-0.007493,0.017172,0.005339,0.020371,0.050239,0.042594,0.027392,0.018366,0.003657,0.012332,0.017591,0.014743,0.007509,0.030757,0.032745,0.002986,0.198826,0.042522,0.035404,0.302827,0.008728,0.067969,1.800553,0.526012,0.730896,0.438386,0.400980,0.326724,0.311131,0.287565,0.254808,0.238385,0.215425,0.197906,0.196332,0.019193,0.007890,0.020551,0.046036,0.035518,0.031907,0.019505,0.006918,0.016362,0.018877,0.015882,0.010398,0.012708,UBM_Child
0.117441,0.005780,3.143090,0.220253,0.217751,0.828182,0.010156,0.180081,-27.352053,2.185795,0.143611,0.022842,-0.177075,-0.068893,-0.157320,-0.084270,-0.144239,-0.219109,-0.196741,-0.143516,-0.193612,0.030726,0.006259,0.023129,0.015463,0.014232,0.009557,0.047555,0.002238,0.008407,0.011149,0.048863,0.006014,0.029988,0.075507,0.006471,0.142352,0.068667,0.031080,0.522340,0.007187,0.153548,1.511313,0.551697,0.591817,0.369869,0.344441,0.287898,0.250641,0.232935,0.247511,0.241432,0.245759,0.249841,0.253904,0.031662,0.009087,0.026367,0.019367,0.016644,0.012115,0.036167,0.003587,0.010600,0.011103,0.042761,0.008098,0.012313,UBM_Child
0.135524,0.000601,3.101799,0.206381,0.185288,1.245981,0.008655,0.212299,-30.471961,1.296225,-0.712282,-0.019885,-0.289657,-0.321015,0.000156,-0.061394,-0.074169,0.086039,-0.056721,-0.034521,-0.050093,0.012262,0.005739,0.015283,0.013405,0.015203,0.012968,0.014309,0.005900,0.009645,0.015928,0.020198,0.011388,0.015625,0.039608,0.000569,0.178984,0.037493,0.028616,0.377280,0.004304,0.083715,1.348459,0.698174,0.568979,0.414157,0.358357,0.341699,0.300639,0.305297,0.301990,0.313664,0.300788,0.282166,0.273950,0.013529,0.006677,0.015290,0.015342,0.015549,0.014624,0.014806,0.007702,0.011476,0.017896,0.019855,0.013839,0.007908,UBM_Child
0.137997,0.001407,2.862383,0.222693,0.217770,0.961166,0.011382,0.223861,-30.737526,2.394084,0.445687,0.146635,-0.317069,-0.074474,-0.059044,-0.012494,0.013002,-0.018536,0.000813,-0.055572,0.010372,0.035373,0.005391,0.040661,0.012955,0.015702,0.012808,0.017081,0.002417,0.009126,0.014771,0.035153,0.007176,0.021400,0.102302,0.001893,0.415855,0.099238,0.043258,0.715616,0.008152,0.205350,2.300873,0.902115,0.689882,0.357242,0.382028,0.307416,0.304769,0.250032,0.248399,0.214068,0.189473,0.189255,0.181890,0.033102,0.007287,0.029290,0.013659,0.013156,0.013106,0.013060,0.003868,0.010384,0.013132,0.028396,0.008317,0.011435,UBM_Child
0.182244,0.005165,2.863039,0.263189,0.211913,1.419025,0.008436,0.313183,-28.226203,1.737347,0.150758,-0.013958,-0.137493,-0.053260,-0.011731,-0.050299,-0.071402,0.028793,-0.059268,-0.047132,-0.004386,0.019170,0.005880,0.025337,0.015444,0.018996,0.012597,0.016487,0.004140,0.009142,0.013776,0.017340,0.006800,0.015669,0.111716,0.006073,0.465935,0.094953,0.035822,0.663050,0.005614,0.189749,2.829958,0.950571,0.857698,0.474710,0.460719,0.367085,0.343965,0.263733,0.250723,0.219290,0.209022,0.191800,0.187727,0.023686,0.007262,0.026283,0.017298,0.018005,0.014218,0.013881,0.005648,0.009805,0.013244,0.017350,0.008121,0.010097,UBM_Child
0.093898,0.017061,3.034350,0.166523,0.179621,0.638189,0.016368,0.138047,-26.792194,2.758650,-0.524507,0.083244,-0.460414,-0.065158,-0.072349,-0.151171,-0.131757,-0.108156,-0.051940,0.000363,0.082057,0.015157,0.009148,0.014838,0.014877,0.032957,0.028362,0.031443,0.005487,0.016457,0.014598,0.013488,0.007311,0.024351,0.060896,0.020863,0.264769,0.062294,0.039215,0.443012,0.010122,0.113101,2.261348,0.729485,0.865814,0.421765,0.489638,0.362189,0.330826,0.308906,0.294280,0.260523,0.241287,0.241121,0.235438,0.017654,0.014183,0.016611,0.017987,0.033676,0.032886,0.029274,0.010454,0.023031,0.014838,0.015172,0.011167,0.011459,UBM_Child
0.129180,0.009192,2.852656,0.203580,0.195625,0.954026,0.012633,0.201971,-28.319164,2.397659,0.394949,0.256460,-0.657611,-0.143662,-0.161809,-0.047192,-0.007471,-0.024422,-0.164434,-0.050577,-0.041138,0.022520,0.005976,0.022747,0.019458,0.022394,0.016416,0.021058,0.001375,0.010778,0.020655,0.028167,0.011288,0.017855,0.094007,0.012109,0.384490,0.092153,0.040872,0.726317,0.008556,0.178589,2.732611,0.986276,0.671925,0.378194,0.408712,0.318972,0.313276,0.252140,0.241031,0.206301,0.204189,0.190787,0.180054,0.020909,0.007415,0.020469,0.019786,0.021015,0.018997,0.018221,0.001676,0.011350,0.017810,0.023044,0.012187,0.008712,UBM_Child
0.085103,0.009609,2.915556,0.165791,0.190569,0.536408,0.014355,0.111551,-29.300116,2.908162,-0.053371,-0.183924,-0.268848,0.117425,-0.110682,0.289574,-0.064430,0.078281,-0.164783,-0.025848,-0.023496,0.016454,0.010281,0.024189,0.015152,0.026954,0.012916,0.046572,0.002528,0.008498,0.015184,0.036526,0.012259,0.024411,0.048797,0.012427,0.405403,0.056909,0.039138,0.424818,0.009484,0.091991,3.170357,0.734044,0.671629,0.366726,0.396721,0.352588,0.322700,0.267595,0.250594,0.225134,0.206042,0.199872,0.196545,0.017610,0.013643,0.022449,0.016676,0.022992,0.016148,0.035417,0.004353,0.011243,0.015399,0.027131,0.015330,0.010262,UBM_Child
0.053423,0.008557,2.957032,0.118160,0.161342,0.240834,0.014676,0.073514,-30.014682,3.676282,-0.081006,-0.101605,-0.220250,-0.101271,-0.141418,-0.005193,-0.101203,0.052666,-0.167813,-0.047911,-0.134541,0.024201,0.005808,0.025928,0.021050,0.025475,0.011406,0.034401,0.002177,0.009552,0.024787,0.039451,0.011602,0.021412,0.021282,0.012475,0.275555,0.028630,0.030635,0.201934,0.008138,0.040076,1.905304,0.480350,0.486985,0.290594,0.319207,0.271370,0.232420,0.218415,0.194292,0.190040,0.168805,0.166416,0.162747,0.019510,0.007692,0.019225,0.018874,0.017744,0.011294,0.021182,0.003835,0.010686,0.018846,0.025935,0.014301,0.006545,UBM_Child
0.171491,0.003416,3.014027,0.267876,0.235915,1.152304,0.008985,0.285710,-30.332503,2.216465,0.224989,-0.276506,-0.040735,0.152582,-0.054087,0.076742,0.132703,0.153052,-0.161793,0.008326,-0.090079,0.016405,0.007252,0.019800,0.015652,0.033584,0.007449,0.032899,0.002736,0.009011,0.018302,0.020189,0.008216,0.019198,0.090024,0.004417,0.300770,0.076682,0.024900,0.601099,0.006857,0.179758,2.295263,0.777550,0.560898,0.321378,0.377171,0.303388,0.248793,0.235193,0.223133,0.200127,0.199929,0.182345,0.178707,0.018323,0.009630,0.016388,0.014377,0.023280,0.007664,0.024716,0.003650,0.011080,0.019003,0.017495,0.010130,0.008891,UBM_Child
0.143571,0.015573,3.078609,0.220107,0.191051,1.258040,0.010170,0.240668,-27.491146,1.351159,-0.412317,-0.302006,-0.551830,0.285610,-0.209062,0.106702,-0.171501,-0.076927,-0.106667,-0.096332,-0.034125,0.013365,0.009374,0.013577,0.015206,0.016195,0.014660,0.015551,0.006081,0.010478,0.021011,0.013871,0.008439,0.016553,0.055285,0.017239,0.294737,0.049201,0.030123,0.454760,0.006542,0.102997,2.491181,0.677675,0.671071,0.384261,0.422796,0.324006,0.311581,0.266915,0.258560,0.252419,0.230136,0.221720,0.219969,0.014230,0.011118,0.013369,0.015946,0.016647,0.017587,0.016750,0.009105,0.013031,0.018688,0.014831,0.010593,0.008678,UBM_Child
0.099696,0.007575,3.067565,0.180109,0.180404,0.784393,0.010113,0.156303,-29.651996,2.090999,-0.270348,-0.118729,-0.319082,0.329201,-0.195985,-0.006214,-0.170925,0.133304,0.013417,-0.081299,0.103711,0.011535,0.006790,0.012596,0.012149,0.030494,0.024545,0.030086,0.007061,0.011370,0.014724,0.027321,0.008747,0.019211,0.043705,0.011998,0.245713,0.038345,0.024060,0.355968,0.006963,0.091183,2.284555,0.518483,0.663112,0.408508,0.396884,0.301553,0.267764,0.234196,0.208977,0.206783,0.194238,0.182965,0.171739,0.011786,0.010112,0.011990,0.013679,0.021592,0.018961,0.019296,0.010189,0.013883,0.014994,0.018662,0.009571,0.007665,UBM_Child
0.087818,0.008859,2.953268,0.166703,0.194276,0.448221,0.017151,0.113740,-29.442346,3.121936,0.242783,-0.240192,-0.457666,-0.113609,-0.229281,-0.252524,-0.168113,0.099084,0.021936,0.084540,-0.130134,0.015407,0.003722,0.023121,0.032384,0.028539,0.016101,0.026049,0.004646,0.015445,0.029693,0.021466,0.012369,0.022815,0.049246,0.010393,0.361568,0.058093,0.037838,0.394001,0.012501,0.092517,2.500664,0.766965,0.615399,0.327008,0.345206,0.332159,0.253950,0.250143,0.219335,0.194511,0.174853,0.183402,0.173133,0.015337,0.004794,0.020248,0.027660,0.025092,0.018224,0.023080,0.009011,0.018039,0.024202,0.019186,0.016306,0.008856,UBM_Child
0.136706,0.005276,3.037664,0.235259,0.226296,0.935778,0.011025,0.231928,-30.154167,2.298407,0.467808,-0.168403,-0.254403,0.021653,-0.091836,-0.047034,-0.141719,0.042427,-0.120817,-0.015693,-0.088838,0.018191,0.006592,0.023339,0.020695,0.021212,0.015100,0.033066,0.004205,0.010718,0.015697,0.035738,0.008358,0.021824,0.066430,0.006857,0.277859,0.066450,0.032609,0.497103,0.007941,0.138241,2.604495,0.634066,0.593407,0.299496,0.384567,0.302392,0.286010,0.262976,0.239189,0.233546,0.207789,0.206000,0.194531,0.018662,0.009656,0.020765,0.022242,0.020193,0.017684,0.023053,0.006811,0.013114,0.015117,0.025893,0.011441,0.008471,UBM_Child
0.156592,0.010975,3.073700,0.223541,0.191967,1.507875,0.006773,0.262217,-26.903541,1.196219,-0.026503,0.088594,-0.404321,0.286053,-0.263090,0.043519,-0.174699,0.158200,-0.136498,0.048631,-0.056586,0.011390,0.006688,0.017872,0.014264,0.020977,0.012259,0.017191,0.005486,0.011614,0.013430,0.018910,0.007037,0.013100,0.039642,0.013780,0.259707,0.034513,0.024485,0.402027,0.004125,0.062567,2.018808,0.547688,0.505207,0.314376,0.409759,0.289261,0.257670,0.259179,0.224028,0.201080,0.190864,0.177563,0.174122,0.010505,0.007373,0.015105,0.012837,0.015181,0.013461,0.013790,0.007400,0.012309,0.011560,0.012880,0.007155,0.006504,UBM_Child
0.133182,0.023699,2.646531,0.179137,0.146265,0.955032,0.015158,0.189756,-28.412414,1.429590,-0.729275,-0.378613,-0.837894,0.003806,-0.279867,-0.054924,-0.178259,-0.028378,-0.122922,-0.003069,-0.083346,0.012577,0.010069,0.014215,0.013284,0.013457,0.015585,0.017170,0.005462,0.012523,0.011732,0.012780,0.010256,0.013397,0.070559,0.037299,0.541906,0.058236,0.033981,0.566232,0.011235,0.103618,3.936272,1.585987,0.901723,0.491562,0.504487,0.445332,0.377337,0.303251,0.286618,0.233774,0.224623,0.205034,0.185358,0.013296,0.012160,0.014720,0.014062,0.014943,0.017931,0.019455,0.007723,0.014727,0.012484,0.013217,0.011454,0.009301,UBM_Child
0.173190,0.012408,3.092738,0.244049,0.201601,1.328215,0.009839,0.282420,-27.140474,1.596349,-0.013433,-0.436308,-0.185854,0.168637,-0.069565,-0.169417,-0.079726,0.004057,-0.011509,-0.063335,-0.136107,0.015831,0.005843,0.014703,0.010851,0.012111,0.014315,0.020996,0.007867,0.013334,0.017896,0.016583,0.008341,0.016582,0.080479,0.016203,0.266216,0.066754,0.027043,0.616377,0.006928,0.149265,2.107160,0.701227,0.705063,0.451348,0.376527,0.327204,0.272911,0.241047,0.231539,0.217865,0.208755,0.218252,0.219583,0.016476,0.007773,0.014871,0.012344,0.013383,0.016949,0.021633,0.012957,0.016711,0.017870,0.016589,0.011140,0.009738,UBM_Child
0.168433,0.004883,3.144548,0.267388,0.237150,1.374545,0.005917,0.308649,-26.979228,1.729078,-0.061138,0.056909,-0.551890,0.147262,0.100329,-0.077034,-0.150553,-0.107264,-0.109244,-0.042197,-0.000974,0.026680,0.008306,0.030377,0.019689,0.020525,0.013391,0.016370,0.004878,0.011478,0.008877,0.011861,0.007082,0.019254,0.075840,0.005724,0.152287,0.069588,0.037008,0.502612,0.003094,0.176802,1.780224,0.463106,0.588480,0.372049,0.413319,0.294505,0.287273,0.220092,0.235311,0.216843,0.212385,0.207756,0.188931,0.024336,0.009388,0.025738,0.020852,0.018270,0.015338,0.014610,0.006488,0.013294,0.008249,0.010636,0.009389,0.009526,UBM_Child
0.113887,0.008462,2.895943,0.196125,0.188063,0.843094,0.011296,0.181125,-27.135146,2.096672,-0.306776,-0.477156,-0.615449,0.072451,-0.063167,-0.163114,-0.242739,-0.002428,-0.199093,-0.043680,-0.074393,0.017458,0.008816,0.017646,0.021438,0.020505,0.021459,0.021387,0.006978,0.010127,0.018574,0.016925,0.010479,0.019341,0.055773,0.012022,0.354434,0.046183,0.025073,0.404101,0.005871,0.112906,2.315533,0.556255,0.758847,0.334716,0.430184,0.305796,0.339427,0.271392,0.293763,0.204995,0.224803,0.200893,0.202647,0.021491,0.012590,0.017500,0.024515,0.024971,0.024972,0.018612,0.012371,0.012732,0.017066,0.016981,0.013012,0.009356,UBM_Child
0.151023,0.005193,2.993647,0.245851,0.221750,1.131306,0.007117,0.272890,-29.217268,1.979267,0.421866,-0.367062,-0.745577,-0.114938,-0.224095,-0.141452,-0.082615,-0.030725,-0.304080,-0.004687,0.011970,0.016925,0.011656,0.016268,0.018011,0.024160,0.018116,0.047299,0.001652,0.015014,0.011291,0.019328,0.008624,0.021675,0.063508,0.006397,0.250802,0.054623,0.025132,0.515203,0.004350,0.147586,2.074774,0.555551,0.490453,0.301763,0.385016,0.248293,0.257561,0.234960,0.219229,0.190340,0.225503,0.168302,0.172472,0.014874,0.013854,0.013572,0.018225,0.024917,0.020610,0.027684,0.001835,0.011590,0.008172,0.014184,0.009907,0.008501,UBM_Child
