@RELATION svm_X_UBM_2215x2s
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {UBM_X,X, Malcolm}

@DATA
0.166171,0.075278,3.035030,0.237511,0.181221,1.470554,0.009853,0.274468,-24.452199,0.223016,-0.566048,-0.327431,-0.263468,0.409659,-0.292413,-0.145390,-0.106090,-0.084784,-0.176679,-0.309395,-0.395996,0.010764,0.013517,0.013233,0.010505,0.010818,0.005401,0.009380,0.005666,0.025257,0.008183,0.007922,0.004446,0.016249,0.057973,0.077931,0.351075,0.045150,0.026436,0.413028,0.004894,0.096348,3.433774,0.918453,0.765260,0.499249,0.393766,0.409987,0.319780,0.310229,0.271262,0.309672,0.312788,0.342665,0.296039,0.015712,0.016086,0.015722,0.013559,0.018351,0.007663,0.013689,0.009103,0.031572,0.012356,0.013096,0.007155,0.010344,UBM_X
0.169510,0.009980,2.899194,0.248862,0.208160,1.193252,0.012781,0.248322,-29.319159,1.644424,-0.176580,0.128080,-0.073543,-0.056884,-0.132560,0.000963,-0.067480,-0.202505,-0.008726,-0.035456,-0.061710,0.012611,0.005051,0.013717,0.012836,0.023186,0.017175,0.024509,0.002464,0.008572,0.025366,0.016433,0.005261,0.020186,0.133212,0.011333,0.508917,0.116676,0.035964,0.761661,0.010377,0.211910,3.578601,1.312954,0.810767,0.560399,0.435103,0.363395,0.304575,0.296180,0.258049,0.247390,0.232156,0.230556,0.224596,0.015214,0.006459,0.015568,0.016153,0.029006,0.023925,0.026875,0.003036,0.010968,0.029597,0.019371,0.006868,0.014275,UBM_X
0.137997,0.001407,2.862383,0.222693,0.217770,0.961166,0.011382,0.223861,-30.737526,2.394084,0.445687,0.146635,-0.317069,-0.074474,-0.059044,-0.012494,0.013002,-0.018536,0.000813,-0.055572,0.010372,0.035373,0.005391,0.040661,0.012955,0.015702,0.012808,0.017081,0.002417,0.009126,0.014771,0.035153,0.007176,0.021400,0.102302,0.001893,0.415855,0.099238,0.043258,0.715616,0.008152,0.205350,2.300873,0.902115,0.689882,0.357242,0.382028,0.307416,0.304769,0.250032,0.248399,0.214068,0.189473,0.189255,0.181890,0.033102,0.007287,0.029290,0.013659,0.013156,0.013106,0.013060,0.003868,0.010384,0.013132,0.028396,0.008317,0.011435,UBM_X
0.097247,0.005259,3.080131,0.196131,0.211265,0.659036,0.012306,0.133181,-28.093755,2.491137,-0.199454,-0.224032,-0.125224,0.023736,-0.016798,0.062470,-0.158474,-0.191349,-0.208924,-0.065576,-0.048010,0.033615,0.008423,0.031229,0.029293,0.040719,0.013701,0.016007,0.003159,0.006578,0.011917,0.011707,0.008419,0.026262,0.048264,0.007073,0.208344,0.051463,0.031486,0.412575,0.008770,0.107117,1.719725,0.519622,0.643158,0.513573,0.359613,0.283569,0.268974,0.237326,0.235250,0.242018,0.248080,0.255070,0.277047,0.036790,0.011555,0.032488,0.027345,0.031096,0.017666,0.017431,0.005187,0.008717,0.013322,0.010678,0.012134,0.011351,UBM_X
0.105926,0.011888,3.019378,0.201340,0.202683,0.733637,0.014195,0.154752,-28.675508,2.187400,0.393528,0.071875,-0.439867,-0.156779,-0.200906,-0.166738,-0.321841,-0.253013,-0.147362,0.000297,0.003840,0.017668,0.004396,0.030229,0.037605,0.032644,0.033767,0.019132,0.002097,0.010422,0.011473,0.020547,0.005423,0.028531,0.068557,0.010636,0.267798,0.071720,0.034617,0.501499,0.009882,0.136740,2.304211,0.673723,0.702751,0.407138,0.373429,0.278393,0.280537,0.252107,0.246735,0.214316,0.207602,0.198840,0.200739,0.018692,0.006868,0.030720,0.035585,0.034749,0.035376,0.018894,0.003437,0.013775,0.011990,0.019374,0.007955,0.012184,UBM_X
0.074663,0.009123,2.917882,0.139330,0.169277,0.405714,0.015901,0.104790,-29.856487,3.374168,-0.177382,-0.225804,-0.200246,0.127553,-0.036970,0.034857,0.062436,0.179131,-0.134974,-0.044405,-0.121067,0.022492,0.008441,0.028822,0.019399,0.038213,0.008615,0.028069,0.003077,0.012121,0.019866,0.024030,0.009507,0.021542,0.047788,0.012417,0.385070,0.049185,0.034378,0.376914,0.010506,0.082758,2.878163,0.768054,0.639180,0.334763,0.397005,0.310702,0.267455,0.236039,0.243453,0.207771,0.206023,0.190998,0.177700,0.024039,0.011392,0.022926,0.016883,0.028227,0.008759,0.020644,0.005055,0.014567,0.018066,0.019546,0.011654,0.008327,UBM_X
0.077836,0.005256,2.912606,0.153636,0.179842,0.527761,0.012149,0.109595,-30.082051,2.822506,0.056084,0.051735,-0.132716,0.140140,-0.048103,0.065811,0.078518,0.136797,-0.099786,0.000063,-0.055031,0.020892,0.006692,0.032455,0.016202,0.036803,0.008915,0.040944,0.002121,0.009547,0.021848,0.028431,0.007540,0.022769,0.040447,0.007284,0.307449,0.040699,0.025544,0.374748,0.008362,0.083331,2.126567,0.614885,0.476043,0.331463,0.316139,0.261678,0.216474,0.207048,0.192365,0.180716,0.173200,0.160741,0.166991,0.020445,0.008951,0.019528,0.013564,0.022569,0.008287,0.025761,0.003074,0.010857,0.019719,0.019969,0.009406,0.007782,UBM_X
0.085103,0.009609,2.915556,0.165791,0.190569,0.536408,0.014355,0.111551,-29.300116,2.908162,-0.053371,-0.183924,-0.268848,0.117425,-0.110682,0.289574,-0.064430,0.078281,-0.164783,-0.025848,-0.023496,0.016454,0.010281,0.024189,0.015152,0.026954,0.012916,0.046572,0.002528,0.008498,0.015184,0.036526,0.012259,0.024411,0.048797,0.012427,0.405403,0.056909,0.039138,0.424818,0.009484,0.091991,3.170357,0.734044,0.671629,0.366726,0.396721,0.352588,0.322700,0.267595,0.250594,0.225134,0.206042,0.199872,0.196545,0.017610,0.013643,0.022449,0.016676,0.022992,0.016148,0.035417,0.004353,0.011243,0.015399,0.027131,0.015330,0.010262,UBM_X
0.055580,0.008184,2.942161,0.119507,0.161250,0.254650,0.014736,0.075221,-30.373885,3.653552,-0.105816,-0.083209,-0.221472,-0.104613,-0.156676,-0.032172,-0.076685,0.066330,-0.145027,-0.022093,-0.123524,0.022980,0.006126,0.023738,0.020029,0.026098,0.011127,0.036332,0.002574,0.009256,0.025140,0.039735,0.010460,0.021386,0.024120,0.012720,0.295816,0.029336,0.030497,0.218125,0.009100,0.042335,2.243671,0.496124,0.555556,0.305425,0.343453,0.277141,0.225866,0.230383,0.208467,0.182501,0.170244,0.175867,0.167300,0.018669,0.008546,0.017666,0.017282,0.019001,0.012872,0.022466,0.004730,0.010043,0.018477,0.026169,0.013139,0.006545,UBM_X
0.177552,0.004950,3.017456,0.274379,0.241675,1.233270,0.008354,0.305618,-29.512388,2.190752,0.249686,-0.141818,-0.002469,0.103047,-0.119290,0.059716,0.224441,0.119955,-0.145150,0.034003,-0.091142,0.013972,0.006503,0.020956,0.014692,0.034132,0.006843,0.032932,0.002380,0.008040,0.018944,0.020314,0.008408,0.017780,0.086344,0.006046,0.305294,0.075112,0.025370,0.606912,0.006701,0.175155,2.193947,0.826727,0.521827,0.301302,0.376968,0.282845,0.240322,0.238981,0.209530,0.193105,0.179395,0.168095,0.170747,0.014016,0.008585,0.016513,0.013767,0.022678,0.006679,0.024286,0.002910,0.010137,0.018027,0.015107,0.009798,0.007997,UBM_X
