@RELATION svm_King_UBM_4000x2s
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {UBM_King,King, Martin Luther}

@DATA
0.182244,0.005165,2.863039,0.263189,0.211913,1.419025,0.008436,0.313183,-28.226203,1.737347,0.150758,-0.013958,-0.137493,-0.053260,-0.011731,-0.050299,-0.071402,0.028793,-0.059268,-0.047132,-0.004386,0.019170,0.005880,0.025337,0.015444,0.018996,0.012597,0.016487,0.004140,0.009142,0.013776,0.017340,0.006800,0.015669,0.111716,0.006073,0.465935,0.094953,0.035822,0.663050,0.005614,0.189749,2.829958,0.950571,0.857698,0.474710,0.460719,0.367085,0.343965,0.263733,0.250723,0.219290,0.209022,0.191800,0.187727,0.023686,0.007262,0.026283,0.017298,0.018005,0.014218,0.013881,0.005648,0.009805,0.013244,0.017350,0.008121,0.010097,UBM_King
0.093898,0.017061,3.034350,0.166523,0.179621,0.638189,0.016368,0.138047,-26.792194,2.758650,-0.524507,0.083244,-0.460414,-0.065158,-0.072349,-0.151171,-0.131757,-0.108156,-0.051940,0.000363,0.082057,0.015157,0.009148,0.014838,0.014877,0.032957,0.028362,0.031443,0.005487,0.016457,0.014598,0.013488,0.007311,0.024351,0.060896,0.020863,0.264769,0.062294,0.039215,0.443012,0.010122,0.113101,2.261348,0.729485,0.865814,0.421765,0.489638,0.362189,0.330826,0.308906,0.294280,0.260523,0.241287,0.241121,0.235438,0.017654,0.014183,0.016611,0.017987,0.033676,0.032886,0.029274,0.010454,0.023031,0.014838,0.015172,0.011167,0.011459,UBM_King
0.105926,0.011888,3.019378,0.201340,0.202683,0.733637,0.014195,0.154752,-28.675508,2.187400,0.393528,0.071875,-0.439867,-0.156779,-0.200906,-0.166738,-0.321841,-0.253013,-0.147362,0.000297,0.003840,0.017668,0.004396,0.030229,0.037605,0.032644,0.033767,0.019132,0.002097,0.010422,0.011473,0.020547,0.005423,0.028531,0.068557,0.010636,0.267798,0.071720,0.034617,0.501499,0.009882,0.136740,2.304211,0.673723,0.702751,0.407138,0.373429,0.278393,0.280537,0.252107,0.246735,0.214316,0.207602,0.198840,0.200739,0.018692,0.006868,0.030720,0.035585,0.034749,0.035376,0.018894,0.003437,0.013775,0.011990,0.019374,0.007955,0.012184,UBM_King
0.074663,0.009123,2.917882,0.139330,0.169277,0.405714,0.015901,0.104790,-29.856487,3.374168,-0.177382,-0.225804,-0.200246,0.127553,-0.036970,0.034857,0.062436,0.179131,-0.134974,-0.044405,-0.121067,0.022492,0.008441,0.028822,0.019399,0.038213,0.008615,0.028069,0.003077,0.012121,0.019866,0.024030,0.009507,0.021542,0.047788,0.012417,0.385070,0.049185,0.034378,0.376914,0.010506,0.082758,2.878163,0.768054,0.639180,0.334763,0.397005,0.310702,0.267455,0.236039,0.243453,0.207771,0.206023,0.190998,0.177700,0.024039,0.011392,0.022926,0.016883,0.028227,0.008759,0.020644,0.005055,0.014567,0.018066,0.019546,0.011654,0.008327,UBM_King
0.085103,0.009609,2.915556,0.165791,0.190569,0.536408,0.014355,0.111551,-29.300116,2.908162,-0.053371,-0.183924,-0.268848,0.117425,-0.110682,0.289574,-0.064430,0.078281,-0.164783,-0.025848,-0.023496,0.016454,0.010281,0.024189,0.015152,0.026954,0.012916,0.046572,0.002528,0.008498,0.015184,0.036526,0.012259,0.024411,0.048797,0.012427,0.405403,0.056909,0.039138,0.424818,0.009484,0.091991,3.170357,0.734044,0.671629,0.366726,0.396721,0.352588,0.322700,0.267595,0.250594,0.225134,0.206042,0.199872,0.196545,0.017610,0.013643,0.022449,0.016676,0.022992,0.016148,0.035417,0.004353,0.011243,0.015399,0.027131,0.015330,0.010262,UBM_King
0.087371,0.011139,2.941275,0.168707,0.193263,0.565381,0.014533,0.116079,-28.931741,2.863738,-0.088594,-0.147822,-0.216352,0.084715,-0.084474,0.251544,-0.035137,0.095968,-0.150177,-0.021393,-0.007723,0.014926,0.009527,0.024007,0.015405,0.028312,0.013754,0.046836,0.002630,0.008762,0.014717,0.034507,0.012181,0.024235,0.050780,0.012969,0.380928,0.054135,0.036045,0.431526,0.009935,0.095384,2.825577,0.725488,0.636286,0.356708,0.381723,0.354032,0.295163,0.249494,0.254087,0.226866,0.208500,0.195449,0.179952,0.015808,0.012415,0.023122,0.015160,0.024049,0.018248,0.033362,0.004427,0.011750,0.014196,0.024788,0.015973,0.010003,UBM_King
0.055580,0.008184,2.942161,0.119507,0.161250,0.254650,0.014736,0.075221,-30.373885,3.653552,-0.105816,-0.083209,-0.221472,-0.104613,-0.156676,-0.032172,-0.076685,0.066330,-0.145027,-0.022093,-0.123524,0.022980,0.006126,0.023738,0.020029,0.026098,0.011127,0.036332,0.002574,0.009256,0.025140,0.039735,0.010460,0.021386,0.024120,0.012720,0.295816,0.029336,0.030497,0.218125,0.009100,0.042335,2.243671,0.496124,0.555556,0.305425,0.343453,0.277141,0.225866,0.230383,0.208467,0.182501,0.170244,0.175867,0.167300,0.018669,0.008546,0.017666,0.017282,0.019001,0.012872,0.022466,0.004730,0.010043,0.018477,0.026169,0.013139,0.006545,UBM_King
0.177552,0.004950,3.017456,0.274379,0.241675,1.233270,0.008354,0.305618,-29.512388,2.190752,0.249686,-0.141818,-0.002469,0.103047,-0.119290,0.059716,0.224441,0.119955,-0.145150,0.034003,-0.091142,0.013972,0.006503,0.020956,0.014692,0.034132,0.006843,0.032932,0.002380,0.008040,0.018944,0.020314,0.008408,0.017780,0.086344,0.006046,0.305294,0.075112,0.025370,0.606912,0.006701,0.175155,2.193947,0.826727,0.521827,0.301302,0.376968,0.282845,0.240322,0.238981,0.209530,0.193105,0.179395,0.168095,0.170747,0.014016,0.008585,0.016513,0.013767,0.022678,0.006679,0.024286,0.002910,0.010137,0.018027,0.015107,0.009798,0.007997,UBM_King
0.105913,0.006234,3.068199,0.181360,0.177716,0.854414,0.009356,0.170758,-29.280579,2.058008,-0.232375,-0.112775,-0.311026,0.321339,-0.182707,-0.021207,-0.102626,0.119825,-0.035480,-0.052434,0.073920,0.013277,0.005690,0.013756,0.012945,0.034374,0.018681,0.026713,0.006996,0.010037,0.014967,0.029032,0.008386,0.018639,0.052287,0.010202,0.243199,0.042746,0.025143,0.403337,0.006161,0.103069,2.145020,0.505773,0.646869,0.399707,0.363238,0.273297,0.258272,0.222272,0.221327,0.202936,0.194681,0.185851,0.175769,0.015013,0.008751,0.012261,0.013817,0.021289,0.015462,0.017026,0.010925,0.012419,0.014296,0.018866,0.009685,0.007418,UBM_King
0.145093,0.007672,3.066021,0.242486,0.227201,1.075128,0.008832,0.253479,-29.660656,2.009739,0.455422,-0.125298,-0.163690,0.042220,-0.076846,-0.028109,-0.110385,0.048946,-0.122826,0.010269,-0.078246,0.015977,0.006070,0.026571,0.019317,0.019598,0.012059,0.033232,0.003313,0.012875,0.016081,0.033401,0.006760,0.019696,0.056338,0.009919,0.231386,0.055291,0.026474,0.449317,0.006249,0.120463,2.298357,0.568747,0.484036,0.267312,0.322900,0.281864,0.269636,0.246825,0.224013,0.210262,0.187810,0.188354,0.174450,0.016257,0.008420,0.020264,0.018991,0.016517,0.012388,0.021976,0.004656,0.015430,0.014527,0.023227,0.007766,0.007219,UBM_King
